ProteinA,ProteinB
NONHSAT000091,Q96PU8
NONHSAT000091,Q99575
NONHSAT000091,Q9H633
NONHSAT000091,Q9HCE1
NONHSAT000091,Q9HCJ0
NONHSAT000091,Q9UKL0
NONHSAT000091,Q9UPQ9
NONHSAT000091,P56178
NONHSAT000091,P08151
NONHSAT000091,Q9H9S0
NONHSAT000091,Q99988
NONHSAT000091,P25490
NONHSAT000091,P49711
NONHSAT000091,P31260
NONHSAT000091,Q00839
NONHSAT000091,P49913
NONHSAT000091,Q15465
NONHSAT000091,P48431
NONHSAT000091,O43184
NONHSAT000091,Q7RTS3
NONHSAT000091,P78509
NONHSAT000092,O15042
NONHSAT000092,O60306
NONHSAT000092,O60341
NONHSAT000092,O95707
NONHSAT000092,P01189
NONHSAT000092,P01344
NONHSAT000092,P04150
NONHSAT000092,P04637
NONHSAT000092,P05455
NONHSAT000092,P07910
NONHSAT000092,P09132
NONHSAT000092,P14210
NONHSAT000092,P14859
NONHSAT000092,P23246
NONHSAT000092,P35453
NONHSAT000092,P55899
NONHSAT000092,P61011
NONHSAT000092,P62140
NONHSAT000092,P78345
NONHSAT000092,P84243
NONHSAT000092,Q01844
NONHSAT000092,Q13285
NONHSAT000092,Q13952
NONHSAT000092,Q15233
NONHSAT000092,Q15287
NONHSAT000092,Q15910
NONHSAT000092,Q4G0J3
NONHSAT000092,Q8IUX4
NONHSAT000092,Q8IYB3
NONHSAT000092,Q8WXF1
NONHSAT000092,Q92994
NONHSAT000092,Q96BK5
NONHSAT000092,Q96PU8
NONHSAT000092,Q99575
NONHSAT000092,Q9H633
NONHSAT000092,Q9HCE1
NONHSAT000092,Q9HCJ0
NONHSAT000092,Q9UKL0
NONHSAT000092,Q9UPQ9
NONHSAT000092,P56178
NONHSAT000092,P08151
NONHSAT000092,Q9H9S0
NONHSAT000092,Q99988
NONHSAT000092,P25490
NONHSAT000092,P49711
NONHSAT000092,P31260
NONHSAT000092,Q00839
NONHSAT000092,P49913
NONHSAT000092,Q15465
NONHSAT000092,P48431
NONHSAT000092,O43184
NONHSAT000092,Q7RTS3
NONHSAT000092,P78509
NONHSAT000157,O15042
NONHSAT000157,O60306
NONHSAT000157,O60341
NONHSAT000157,O95707
NONHSAT000157,P01189
NONHSAT000157,P01344
NONHSAT000157,P04150
NONHSAT000157,P04637
NONHSAT000157,P05455
NONHSAT000157,P07910
NONHSAT000157,P09132
NONHSAT000157,P14210
NONHSAT000157,P14859
NONHSAT000157,P23246
NONHSAT000157,P35453
NONHSAT000157,P55899
NONHSAT000157,P61011
NONHSAT000157,P62140
NONHSAT000157,P78345
NONHSAT000157,P84243
NONHSAT000157,Q01844
NONHSAT000157,Q13285
NONHSAT000157,Q13952
NONHSAT000157,Q15233
NONHSAT000157,Q15287
NONHSAT000157,Q15910
NONHSAT000157,Q4G0J3
NONHSAT000157,Q8IUX4
NONHSAT000157,Q8IYB3
NONHSAT000157,Q8WXF1
NONHSAT000157,Q92994
NONHSAT000157,Q96BK5
NONHSAT000157,Q96PU8
NONHSAT000157,Q99575
NONHSAT000157,Q9H633
NONHSAT000157,Q9HCE1
NONHSAT000157,Q9HCJ0
NONHSAT000157,Q9UKL0
NONHSAT000157,Q9UPQ9
NONHSAT000157,P56178
NONHSAT000157,P08151
NONHSAT000157,Q9H9S0
NONHSAT000157,Q99988
NONHSAT000157,P25490
NONHSAT000157,P49711
NONHSAT000157,P31260
NONHSAT000157,Q00839
NONHSAT000157,P49913
NONHSAT000157,Q15465
NONHSAT000157,P48431
NONHSAT000157,O43184
NONHSAT000157,Q7RTS3
NONHSAT000157,P78509
NONHSAT000204,O15042
NONHSAT000204,O60306
NONHSAT000204,O60341
NONHSAT000204,O95707
NONHSAT000204,P01189
NONHSAT000204,P01344
NONHSAT000204,P04150
NONHSAT000204,P04637
NONHSAT000204,P05455
NONHSAT000204,P07910
NONHSAT000204,P09132
NONHSAT000204,P14210
NONHSAT000204,P14859
NONHSAT000204,P23246
NONHSAT000204,P35453
NONHSAT000204,P55899
NONHSAT000204,P61011
NONHSAT000204,P62140
NONHSAT000204,P78345
NONHSAT000204,P84243
NONHSAT000204,Q01844
NONHSAT000204,Q13285
NONHSAT000204,Q13952
NONHSAT000204,Q15233
NONHSAT000204,Q15287
NONHSAT000204,Q15910
NONHSAT000204,Q4G0J3
NONHSAT000204,Q8IUX4
NONHSAT000204,Q8IYB3
NONHSAT000204,Q8WXF1
NONHSAT000204,Q92994
NONHSAT000204,Q96BK5
NONHSAT000204,Q96PU8
NONHSAT000204,Q99575
NONHSAT000204,Q9H633
NONHSAT000204,Q9HCE1
NONHSAT000204,Q9HCJ0
NONHSAT000204,Q9UKL0
NONHSAT000204,Q9UPQ9
NONHSAT000204,P56178
NONHSAT000204,P08151
NONHSAT000204,Q9H9S0
NONHSAT000204,Q99988
NONHSAT000204,P25490
NONHSAT000204,P49711
NONHSAT000204,P31260
NONHSAT000204,Q00839
NONHSAT000204,P49913
NONHSAT000204,Q15465
NONHSAT000204,P48431
NONHSAT000204,O43184
NONHSAT000204,Q7RTS3
NONHSAT000204,P78509
NONHSAT000372,O15042
NONHSAT000372,O60306
NONHSAT000372,O60341
NONHSAT000372,O95707
NONHSAT000372,P01189
NONHSAT000372,P01344
NONHSAT000372,P04150
NONHSAT000372,P04637
NONHSAT000372,P05455
NONHSAT000372,P07910
NONHSAT000372,P09132
NONHSAT000372,P14210
NONHSAT000372,P14859
NONHSAT000372,P23246
NONHSAT000372,P35453
NONHSAT000372,P55899
NONHSAT000372,P61011
NONHSAT000372,P62140
NONHSAT000372,P78345
NONHSAT000372,P84243
NONHSAT000372,Q01844
NONHSAT000372,Q13285
NONHSAT000372,Q13952
NONHSAT000372,Q15233
NONHSAT000372,Q15287
NONHSAT000372,Q15910
NONHSAT000372,Q4G0J3
NONHSAT000372,Q8IUX4
NONHSAT000372,Q8IYB3
NONHSAT000372,Q8WXF1
NONHSAT000372,Q92994
NONHSAT000372,Q96BK5
NONHSAT000372,Q96PU8
NONHSAT000372,Q99575
NONHSAT000372,Q9H633
NONHSAT000372,Q9HCE1
NONHSAT000372,Q9HCJ0
NONHSAT000372,Q9UKL0
NONHSAT000372,Q9UPQ9
NONHSAT000372,P56178
NONHSAT000372,P08151
NONHSAT000372,Q9H9S0
NONHSAT000372,Q99988
NONHSAT000372,P25490
NONHSAT000372,P49711
NONHSAT000372,P31260
NONHSAT000372,Q00839
NONHSAT000372,P49913
NONHSAT000372,Q15465
NONHSAT000372,P48431
NONHSAT000372,O43184
NONHSAT000372,Q7RTS3
NONHSAT000372,P78509
NONHSAT000416,O15042
NONHSAT000416,O60306
NONHSAT000416,O60341
NONHSAT000416,O95707
NONHSAT000416,P01189
NONHSAT000416,P01344
NONHSAT000416,P04150
NONHSAT000416,P04637
NONHSAT000416,P05455
NONHSAT000416,P07910
NONHSAT000416,P09132
NONHSAT000416,P14210
NONHSAT000416,P14859
NONHSAT000416,P23246
NONHSAT000416,P35453
NONHSAT000416,P55899
NONHSAT000416,P61011
NONHSAT000416,P62140
NONHSAT000416,P78345
NONHSAT000416,P84243
NONHSAT000416,Q01844
NONHSAT000416,Q13285
NONHSAT000416,Q13952
NONHSAT000416,Q15233
NONHSAT000416,Q15287
NONHSAT000416,Q15910
NONHSAT000416,Q4G0J3
NONHSAT000416,Q8IUX4
NONHSAT000416,Q8IYB3
NONHSAT000416,Q8WXF1
NONHSAT000416,Q92994
NONHSAT000416,Q96BK5
NONHSAT000416,Q96PU8
NONHSAT000416,Q99575
NONHSAT000416,Q9H633
NONHSAT000416,Q9HCE1
NONHSAT000416,Q9HCJ0
NONHSAT000416,Q9UKL0
NONHSAT000416,Q9UPQ9
NONHSAT000416,P56178
NONHSAT000416,P08151
NONHSAT000416,Q9H9S0
NONHSAT000416,Q99988
NONHSAT000416,P25490
NONHSAT000416,P49711
NONHSAT000416,P31260
NONHSAT000416,Q00839
NONHSAT000416,P49913
NONHSAT000416,Q15465
NONHSAT000416,P48431
NONHSAT000416,O43184
NONHSAT000416,Q7RTS3
NONHSAT000416,P78509
NONHSAT000786,O15042
NONHSAT000786,O60306
NONHSAT000786,O60341
NONHSAT000786,O95707
NONHSAT000786,P01189
NONHSAT000786,P01344
NONHSAT000786,P04150
NONHSAT000786,P04637
NONHSAT000786,P05455
NONHSAT000786,P07910
NONHSAT000786,P09132
NONHSAT000786,P14210
NONHSAT000786,P14859
NONHSAT000786,P23246
NONHSAT000786,P35453
NONHSAT000786,P55899
NONHSAT000786,P61011
NONHSAT000786,P62140
NONHSAT000786,P78345
NONHSAT000786,P84243
NONHSAT000786,Q01844
NONHSAT000786,Q13285
NONHSAT000786,Q13952
NONHSAT000786,Q15233
NONHSAT000786,Q15287
NONHSAT000786,Q15910
NONHSAT000786,Q4G0J3
NONHSAT000786,Q8IUX4
NONHSAT000786,Q8IYB3
NONHSAT000786,Q8WXF1
NONHSAT000786,Q92994
NONHSAT000786,Q96BK5
NONHSAT000786,Q96PU8
NONHSAT000786,Q99575
NONHSAT000786,Q9H633
NONHSAT000786,Q9HCE1
NONHSAT000786,Q9HCJ0
NONHSAT000786,Q9UKL0
NONHSAT000786,Q9UPQ9
NONHSAT000786,P56178
NONHSAT000786,P08151
NONHSAT000786,Q9H9S0
NONHSAT000786,Q99988
NONHSAT000786,P25490
NONHSAT000786,P49711
NONHSAT000786,P31260
NONHSAT000786,Q00839
NONHSAT000786,P49913
NONHSAT000786,Q15465
NONHSAT000786,P48431
NONHSAT000786,O43184
NONHSAT000786,Q7RTS3
NONHSAT000786,P78509
NONHSAT000825,O15042
NONHSAT000825,O60306
NONHSAT000825,O60341
NONHSAT000825,O95707
NONHSAT000825,P01189
NONHSAT000825,P01344
NONHSAT000825,P04150
NONHSAT000825,P04637
NONHSAT000825,P05455
NONHSAT000825,P07910
NONHSAT000825,P09132
NONHSAT000825,P14210
NONHSAT000825,P14859
NONHSAT000825,P23246
NONHSAT000825,P35453
NONHSAT000825,P55899
NONHSAT000825,P61011
NONHSAT000825,P62140
NONHSAT000825,P78345
NONHSAT000825,P84243
NONHSAT000825,Q01844
NONHSAT000825,Q13285
NONHSAT000825,Q13952
NONHSAT000825,Q15233
NONHSAT000825,Q15287
NONHSAT000825,Q15910
NONHSAT000825,Q4G0J3
NONHSAT000825,Q8IUX4
NONHSAT000825,Q8IYB3
NONHSAT000825,Q8WXF1
NONHSAT000825,Q92994
NONHSAT000825,Q96BK5
NONHSAT000825,Q96PU8
NONHSAT000825,Q99575
NONHSAT000825,Q9H633
NONHSAT000825,Q9HCE1
NONHSAT000825,Q9HCJ0
NONHSAT000825,Q9UKL0
NONHSAT000825,Q9UPQ9
NONHSAT000825,P56178
NONHSAT000825,P08151
NONHSAT000825,Q9H9S0
NONHSAT000825,Q99988
NONHSAT000825,P25490
NONHSAT000825,P49711
NONHSAT000825,P31260
NONHSAT000825,Q00839
NONHSAT000825,P49913
NONHSAT000825,Q15465
NONHSAT000825,P48431
NONHSAT000825,O43184
NONHSAT000825,Q7RTS3
NONHSAT000825,P78509
NONHSAT001050,O15042
NONHSAT001050,O60306
NONHSAT001050,O60341
NONHSAT001050,O95707
NONHSAT001050,P01189
NONHSAT001050,P01344
NONHSAT001050,P04150
NONHSAT001050,P04637
NONHSAT001050,P05455
NONHSAT001050,P07910
NONHSAT001050,P09132
NONHSAT001050,P14210
NONHSAT001050,P14859
NONHSAT001050,P23246
NONHSAT001050,P35453
NONHSAT001050,P55899
NONHSAT001050,P61011
NONHSAT001050,P62140
NONHSAT001050,P78345
NONHSAT001050,P84243
NONHSAT001050,Q01844
NONHSAT001050,Q13285
NONHSAT001050,Q13952
NONHSAT001050,Q15233
NONHSAT001050,Q15287
NONHSAT001050,Q15910
NONHSAT001050,Q4G0J3
NONHSAT001050,Q8IUX4
NONHSAT001050,Q8IYB3
NONHSAT001050,Q8WXF1
NONHSAT001050,Q92994
NONHSAT001050,Q96BK5
NONHSAT001050,Q96PU8
NONHSAT001050,Q99575
NONHSAT001050,Q9H633
NONHSAT001050,Q9HCE1
NONHSAT001050,Q9HCJ0
NONHSAT001050,Q9UKL0
NONHSAT001050,Q9UPQ9
NONHSAT001050,P56178
NONHSAT001050,P08151
NONHSAT001050,Q9H9S0
NONHSAT001050,Q99988
NONHSAT001050,P25490
NONHSAT001050,P49711
NONHSAT001050,P31260
NONHSAT001050,Q00839
NONHSAT001050,P49913
NONHSAT001050,Q15465
NONHSAT001050,P48431
NONHSAT001050,O43184
NONHSAT001050,Q7RTS3
NONHSAT001050,P78509
NONHSAT001062,O15042
NONHSAT001062,O60306
NONHSAT001062,O60341
NONHSAT001062,O95707
NONHSAT001062,P01189
NONHSAT001062,P01344
NONHSAT001062,P04150
NONHSAT001062,P04637
NONHSAT001062,P05455
NONHSAT001062,P07910
NONHSAT001062,P09132
NONHSAT001062,P14210
NONHSAT001062,P14859
NONHSAT001062,P23246
NONHSAT001062,P35453
NONHSAT001062,P55899
NONHSAT001062,P61011
NONHSAT001062,P62140
NONHSAT001062,P78345
NONHSAT001062,P84243
NONHSAT001062,Q01844
NONHSAT001062,Q13285
NONHSAT001062,Q13952
NONHSAT001062,Q15233
NONHSAT001062,Q15287
NONHSAT001062,Q15910
NONHSAT001062,Q4G0J3
NONHSAT001062,Q8IUX4
NONHSAT001062,Q8IYB3
NONHSAT001062,Q8WXF1
NONHSAT001062,Q92994
NONHSAT001062,Q96BK5
NONHSAT001062,Q96PU8
NONHSAT001062,Q99575
NONHSAT001062,Q9H633
NONHSAT001062,Q9HCE1
NONHSAT001062,Q9HCJ0
NONHSAT001062,Q9UKL0
NONHSAT001062,Q9UPQ9
NONHSAT001062,P56178
NONHSAT001062,P08151
NONHSAT001062,Q9H9S0
NONHSAT001062,Q99988
NONHSAT001062,P25490
NONHSAT001062,P49711
NONHSAT001062,P31260
NONHSAT001062,Q00839
NONHSAT001062,P49913
NONHSAT001062,Q15465
NONHSAT001062,P48431
NONHSAT001062,O43184
NONHSAT001062,Q7RTS3
NONHSAT001062,P78509
NONHSAT001063,O15042
NONHSAT001063,O60306
NONHSAT001063,O60341
NONHSAT001063,O95707
NONHSAT001063,P01189
NONHSAT001063,P01344
NONHSAT001063,P04150
NONHSAT001063,P04637
NONHSAT001063,P05455
NONHSAT001063,P07910
NONHSAT001063,P09132
NONHSAT001063,P14210
NONHSAT001063,P14859
NONHSAT001063,P23246
NONHSAT001063,P35453
NONHSAT001063,P55899
NONHSAT001063,P61011
NONHSAT001063,P62140
NONHSAT001063,P78345
NONHSAT001063,P84243
NONHSAT001063,Q01844
NONHSAT001063,Q13285
NONHSAT001063,Q13952
NONHSAT001063,Q15233
NONHSAT001063,Q15287
NONHSAT001063,Q15910
NONHSAT001063,Q4G0J3
NONHSAT001063,Q8IUX4
NONHSAT001063,Q8IYB3
NONHSAT001063,Q8WXF1
NONHSAT001063,Q92994
NONHSAT001063,Q96BK5
NONHSAT001063,Q96PU8
NONHSAT001063,Q99575
NONHSAT001063,Q9H633
NONHSAT001063,Q9HCE1
NONHSAT001063,Q9HCJ0
NONHSAT001063,Q9UKL0
NONHSAT001063,Q9UPQ9
NONHSAT001063,P56178
NONHSAT001063,P08151
NONHSAT001063,Q9H9S0
NONHSAT001063,Q99988
NONHSAT001063,P25490
NONHSAT001063,P49711
NONHSAT001063,P31260
NONHSAT001063,Q00839
NONHSAT001063,P49913
NONHSAT001063,Q15465
NONHSAT001063,P48431
NONHSAT001063,O43184
NONHSAT001063,Q7RTS3
NONHSAT001063,P78509
NONHSAT001159,O15042
NONHSAT001159,O60306
NONHSAT001159,O60341
NONHSAT001159,O95707
NONHSAT001159,P01189
NONHSAT001159,P01344
NONHSAT001159,P04150
NONHSAT001159,P04637
NONHSAT001159,P05455
NONHSAT001159,P07910
NONHSAT001159,P09132
NONHSAT001159,P14210
NONHSAT001159,P14859
NONHSAT001159,P23246
NONHSAT001159,P35453
NONHSAT001159,P55899
NONHSAT001159,P61011
NONHSAT001159,P62140
NONHSAT001159,P78345
NONHSAT001159,P84243
NONHSAT001159,Q01844
NONHSAT001159,Q13285
NONHSAT001159,Q13952
NONHSAT001159,Q15233
NONHSAT001159,Q15287
NONHSAT001159,Q15910
NONHSAT001159,Q4G0J3
NONHSAT001159,Q8IUX4
NONHSAT001159,Q8IYB3
NONHSAT001159,Q8WXF1
NONHSAT001159,Q92994
NONHSAT001159,Q96BK5
NONHSAT001159,Q96PU8
NONHSAT001159,Q99575
NONHSAT001159,Q9H633
NONHSAT001159,Q9HCE1
NONHSAT001159,Q9HCJ0
NONHSAT001159,Q9UKL0
NONHSAT001159,Q9UPQ9
NONHSAT001159,P56178
NONHSAT001159,P08151
NONHSAT001159,Q9H9S0
NONHSAT001159,Q99988
NONHSAT001159,P25490
NONHSAT001159,P49711
NONHSAT001159,P31260
NONHSAT001159,Q00839
NONHSAT001159,P49913
NONHSAT001159,Q15465
NONHSAT001159,P48431
NONHSAT001159,O43184
NONHSAT001159,Q7RTS3
NONHSAT001159,P78509
NONHSAT001461,O15042
NONHSAT001461,O60306
NONHSAT001461,O60341
NONHSAT001461,O95707
NONHSAT001461,P01189
NONHSAT001461,P01344
NONHSAT001461,P04150
NONHSAT001461,P04637
NONHSAT001461,P05455
NONHSAT001461,P07910
NONHSAT001461,P09132
NONHSAT001461,P14210
NONHSAT001461,P14859
NONHSAT001461,P23246
NONHSAT001461,P35453
NONHSAT001461,P55899
NONHSAT001461,P61011
NONHSAT001461,P62140
NONHSAT001461,P78345
NONHSAT001461,P84243
NONHSAT001461,Q01844
NONHSAT001461,Q13285
NONHSAT001461,Q13952
NONHSAT001461,Q15233
NONHSAT001461,Q15287
NONHSAT001461,Q15910
NONHSAT001461,Q4G0J3
NONHSAT001461,Q8IUX4
NONHSAT001461,Q8IYB3
NONHSAT001461,Q8WXF1
NONHSAT001461,Q92994
NONHSAT001461,Q96BK5
NONHSAT001461,Q96PU8
NONHSAT001461,Q99575
NONHSAT001461,Q9H633
NONHSAT001461,Q9HCE1
NONHSAT001461,Q9HCJ0
NONHSAT001461,Q9UKL0
NONHSAT001461,Q9UPQ9
NONHSAT001461,P56178
NONHSAT001461,P08151
NONHSAT001461,Q9H9S0
NONHSAT001461,Q99988
NONHSAT001461,P25490
NONHSAT001461,P49711
NONHSAT001461,P31260
NONHSAT001461,Q00839
NONHSAT001461,P49913
NONHSAT001461,Q15465
NONHSAT001461,P48431
NONHSAT001461,O43184
NONHSAT001461,Q7RTS3
NONHSAT001461,P78509
NONHSAT001463,O15042
NONHSAT001463,O60306
NONHSAT001463,O60341
NONHSAT001463,O95707
NONHSAT001463,P01189
NONHSAT001463,P01344
NONHSAT001463,P04150
NONHSAT001463,P04637
NONHSAT001463,P05455
NONHSAT001463,P07910
NONHSAT001463,P09132
NONHSAT001463,P14210
NONHSAT001463,P14859
NONHSAT001463,P23246
NONHSAT001463,P35453
NONHSAT001463,P55899
NONHSAT001463,P61011
NONHSAT001463,P62140
NONHSAT001463,P78345
NONHSAT001463,P84243
NONHSAT001463,Q01844
NONHSAT001463,Q13285
NONHSAT001463,Q13952
NONHSAT001463,Q15233
NONHSAT001463,Q15287
NONHSAT001463,Q15910
NONHSAT001463,Q4G0J3
NONHSAT001463,Q8IUX4
NONHSAT001463,Q8IYB3
NONHSAT001463,Q8WXF1
NONHSAT001463,Q92994
NONHSAT001463,Q96BK5
NONHSAT001463,Q96PU8
NONHSAT001463,Q99575
NONHSAT001463,Q9H633
NONHSAT001463,Q9HCE1
NONHSAT001463,Q9HCJ0
NONHSAT001463,Q9UKL0
NONHSAT001463,Q9UPQ9
NONHSAT001463,P56178
NONHSAT001463,P08151
NONHSAT001463,Q9H9S0
NONHSAT001463,Q99988
NONHSAT001463,P25490
NONHSAT001463,P49711
NONHSAT001463,P31260
NONHSAT001463,Q00839
NONHSAT001463,P49913
NONHSAT001463,Q15465
NONHSAT001463,P48431
NONHSAT001463,O43184
NONHSAT001463,Q7RTS3
NONHSAT001463,P78509
NONHSAT001510,O15042
NONHSAT001510,O60306
NONHSAT001510,O60341
NONHSAT001510,O95707
NONHSAT001510,P01189
NONHSAT001510,P01344
NONHSAT001510,P04150
NONHSAT001510,P04637
NONHSAT001510,P05455
NONHSAT001510,P07910
NONHSAT001510,P09132
NONHSAT001510,P14210
NONHSAT001510,P14859
NONHSAT001510,P23246
NONHSAT001510,P35453
NONHSAT001510,P55899
NONHSAT001510,P61011
NONHSAT001510,P62140
NONHSAT001510,P78345
NONHSAT001510,P84243
NONHSAT001510,Q01844
NONHSAT001510,Q13285
NONHSAT001510,Q13952
NONHSAT001510,Q15233
NONHSAT001510,Q15287
NONHSAT001510,Q15910
NONHSAT001510,Q4G0J3
NONHSAT001510,Q8IUX4
NONHSAT001510,Q8IYB3
NONHSAT001510,Q8WXF1
NONHSAT001510,Q92994
NONHSAT001510,Q96BK5
NONHSAT001510,Q96PU8
NONHSAT001510,Q99575
NONHSAT001510,Q9H633
NONHSAT001510,Q9HCE1
NONHSAT001510,Q9HCJ0
NONHSAT001510,Q9UKL0
NONHSAT001510,Q9UPQ9
NONHSAT001510,P56178
NONHSAT001510,P08151
NONHSAT001510,Q9H9S0
NONHSAT001510,Q99988
NONHSAT001510,P25490
NONHSAT001510,P49711
NONHSAT001510,P31260
NONHSAT001510,Q00839
NONHSAT001510,P49913
NONHSAT001510,Q15465
NONHSAT001510,P48431
NONHSAT001510,O43184
NONHSAT001510,Q7RTS3
NONHSAT001510,P78509
NONHSAT001511,O15042
NONHSAT001511,O60306
NONHSAT001511,O60341
NONHSAT001511,O95707
NONHSAT001511,P01189
NONHSAT001511,P01344
NONHSAT001511,P04150
NONHSAT001511,P04637
NONHSAT001511,P05455
NONHSAT001511,P07910
NONHSAT001511,P09132
NONHSAT001511,P14210
NONHSAT001511,P14859
NONHSAT001511,P23246
NONHSAT001511,P35453
NONHSAT001511,P55899
NONHSAT001511,P61011
NONHSAT001511,P62140
NONHSAT001511,P78345
NONHSAT001511,P84243
NONHSAT001511,Q01844
NONHSAT001511,Q13285
NONHSAT001511,Q13952
NONHSAT001511,Q15233
NONHSAT001511,Q15287
NONHSAT001511,Q15910
NONHSAT001511,Q4G0J3
NONHSAT001511,Q8IUX4
NONHSAT001511,Q8IYB3
NONHSAT001511,Q8WXF1
NONHSAT001511,Q92994
NONHSAT001511,Q96BK5
NONHSAT001511,Q96PU8
NONHSAT001511,Q99575
NONHSAT001511,Q9H633
NONHSAT001511,Q9HCE1
NONHSAT001511,Q9HCJ0
NONHSAT001511,Q9UKL0
NONHSAT001511,Q9UPQ9
NONHSAT001511,P56178
NONHSAT001511,P08151
NONHSAT001511,Q9H9S0
NONHSAT001511,Q99988
NONHSAT001511,P25490
NONHSAT001511,P49711
NONHSAT001511,P31260
NONHSAT001511,Q00839
NONHSAT001511,P49913
NONHSAT001511,Q15465
NONHSAT001511,P48431
NONHSAT001511,O43184
NONHSAT001511,Q7RTS3
NONHSAT001511,P78509
NONHSAT001523,O15042
NONHSAT001523,O60306
NONHSAT001523,O60341
NONHSAT001523,O95707
NONHSAT001523,P01189
NONHSAT001523,P01344
NONHSAT001523,P04150
NONHSAT001523,P04637
NONHSAT001523,P05455
NONHSAT001523,P07910
NONHSAT001523,P09132
NONHSAT001523,P14210
NONHSAT001523,P14859
NONHSAT001523,P23246
NONHSAT001523,P35453
NONHSAT001523,P55899
NONHSAT001523,P61011
NONHSAT001523,P62140
NONHSAT001523,P78345
NONHSAT001523,P84243
NONHSAT001523,Q01844
NONHSAT001523,Q13285
NONHSAT001523,Q13952
NONHSAT001523,Q15233
NONHSAT001523,Q15287
NONHSAT001523,Q15910
NONHSAT001523,Q4G0J3
NONHSAT001523,Q8IUX4
NONHSAT001523,Q8IYB3
NONHSAT001523,Q8WXF1
NONHSAT001523,Q92994
NONHSAT001523,Q96BK5
NONHSAT001523,Q96PU8
NONHSAT001523,Q99575
NONHSAT001523,Q9H633
NONHSAT001523,Q9HCE1
NONHSAT001523,Q9HCJ0
NONHSAT001523,Q9UKL0
NONHSAT001523,Q9UPQ9
NONHSAT001523,P56178
NONHSAT001523,P08151
NONHSAT001523,Q9H9S0
NONHSAT001523,Q99988
NONHSAT001523,P25490
NONHSAT001523,P49711
NONHSAT001523,P31260
NONHSAT001523,Q00839
NONHSAT001523,P49913
NONHSAT001523,Q15465
NONHSAT001523,P48431
NONHSAT001523,O43184
NONHSAT001523,Q7RTS3
NONHSAT001523,P78509
NONHSAT001652,O15042
NONHSAT001652,O60306
NONHSAT001652,O60341
NONHSAT001652,O95707
NONHSAT001652,P01189
NONHSAT001652,P01344
NONHSAT001652,P04150
NONHSAT001652,P04637
NONHSAT001652,P05455
NONHSAT001652,P07910
NONHSAT001652,P09132
NONHSAT001652,P14210
NONHSAT001652,P14859
NONHSAT001652,P23246
NONHSAT001652,P35453
NONHSAT001652,P55899
NONHSAT001652,P61011
NONHSAT001652,P62140
NONHSAT001652,P78345
NONHSAT001652,P84243
NONHSAT001652,Q01844
NONHSAT001652,Q13285
NONHSAT001652,Q13952
NONHSAT001652,Q15233
NONHSAT001652,Q15287
NONHSAT001652,Q15910
NONHSAT001652,Q4G0J3
NONHSAT001652,Q8IUX4
NONHSAT001652,Q8IYB3
NONHSAT001652,Q8WXF1
NONHSAT001652,Q92994
NONHSAT001652,Q96BK5
NONHSAT001652,Q96PU8
NONHSAT001652,Q99575
